Ensembl ID;Gene;Chromosome_scaffold;Transcript start;Transcript end
ENSMUST00000056032;E4f1;17;24443779;24455311
ENSMUST00000022446;Eaf1;14;31494399;31509858
ENSMUST00000110713;Eapp;12;54673466;54695821
ENSMUST00000161592;Eapp;12;54670340;54695881
ENSMUST00000163433;Eapp;12;54671655;54695884
ENSMUST00000022964;Ebag9;15;44619591;44641026
ENSMUST00000030501;Ebna1bp2;4;118620799;118627776
ENSMUST00000022344;Ecd;14;20319852;20348121
ENSMUST00000110251;Eci2;13;34977757;34994132
ENSMUST00000021854;Eci2;13;34977749;34994281
ENSMUST00000043990;Edc3;9;57708540;57752499
ENSMUST00000040254;Edc4;8;105880881;105893225
ENSMUST00000119261;Edc4;8;105880951;105893208
ENSMUST00000059498;Edem3;1;151755374;151822051
ENSMUST00000128901;Edrf1;7;133637693;133672179
ENSMUST00000107234;Eed;7;89954654;89980983
ENSMUST00000022518;Eef1akmt1;14;57549597;57571612
ENSMUST00000023235;Eef1d;15;75895804;75909329
ENSMUST00000141268;Eef1d;15;75896281;75909319
ENSMUST00000116440;Eef1d;15;75895488;75909297
ENSMUST00000001757;Eef1e1;13;38644207;38659058
ENSMUST00000064635;Eef2kmt;16;5244152;5255983
ENSMUST00000165242;Eefsec;6;88257334;88446539
ENSMUST00000015146;Efr3a;15;65787040;65873816
ENSMUST00000080058;Egln2;7;27158658;27166802
ENSMUST00000078061;Ehmt2;17;34898499;34914047
ENSMUST00000114033;Ehmt2;17;34898469;34914051
ENSMUST00000115086;Ei24;9;36779159;36797393
ENSMUST00000094651;Eid2b;7;28277739;28279489
ENSMUST00000078079;Eif1a;18;46597704;46610211
ENSMUST00000025759;Eif1ad;19;5366741;5371526
ENSMUST00000087143;Eif1ax;X;159372178;159389928
ENSMUST00000007139;Eif1b;9;120492491;120495330
ENSMUST00000100487;Eif2ak1;5;143817788;143904251
ENSMUST00000034093;Eif2ak3;6;70844515;70905245
ENSMUST00000031334;Eif2b1;5;124570213;124579131
ENSMUST00000004910;Eif2b2;12;85219481;85226628
ENSMUST00000003320;Eif2b5;16;20498817;20509323
ENSMUST00000068791;Eif2d;1;131153181;131180406
ENSMUST00000068805;Eif2d;1;131153181;131173478
ENSMUST00000071230;Eif2s1;12;78861819;78887010
ENSMUST00000099173;Eif2s2;2;154871410;154892935
ENSMUST00000166171;Eif2s2;2;154871418;154892782
ENSMUST00000025955;Eif3a;19;60761117;60790643
ENSMUST00000199377;Eif3b;5;140439942;140442697
ENSMUST00000100507;Eif3b;5;140419328;140443360
ENSMUST00000032992;Eif3c;7;126546455;126566411
ENSMUST00000100484;Eif3d;15;77958998;77970813
ENSMUST00000022960;Eif3e;15;43250058;43282719
ENSMUST00000004206;Eif3g;9;20894349;20898623
ENSMUST00000102593;Eif3i;4;129591960;129600648
ENSMUST00000066070;Eif3k;7;28971372;28981814
ENSMUST00000040518;Eif3l;15;79075179;79094405
ENSMUST00000028592;Eif3m;2;104999656;105017080
ENSMUST00000163666;Eif4a1;11;69666936;69672317
ENSMUST00000077605;Eif4a2;16;23107759;23113946
ENSMUST00000026667;Eif4a3;11;119288363;119300089
ENSMUST00000169681;Eif4b;15;102073773;102097173
ENSMUST00000029803;Eif4e;3;138526179;138559696
ENSMUST00000200239;Eif4e;3;138527285;138556214
ENSMUST00000076362;Eif4e2;1;87213914;87240488
ENSMUST00000113235;Eif4e2;1;87213914;87240488
ENSMUST00000113231;Eif4e2;1;87214286;87228064
ENSMUST00000113232;Eif4e2;1;87213914;87226607
ENSMUST00000110049;Eif4enif1;11;3202663;3244588
ENSMUST00000162415;Eif4g2;7;111067750;111083030
ENSMUST00000161051;Eif4g2;7;111071932;111083017
ENSMUST00000036125;Eif4h;5;134619877;134639347
ENSMUST00000202622;Eif4h;5;134619721;134639490
ENSMUST00000166123;Eif5;12;111538016;111546752
ENSMUST00000108613;Eif5a;11;69916720;69921386
ENSMUST00000108612;Eif5a;11;69916720;69920940
ENSMUST00000164359;Eif5a;11;69916714;69921085
ENSMUST00000027252;Eif5b;1;37998010;38055579
ENSMUST00000109638;Eif6;2;155825166;155826663
ENSMUST00000029142;Eif6;2;155819832;155826925
ENSMUST00000041138;Elac1;18;73735038;73754479
ENSMUST00000209010;Elavl1;8;4288343;4312619
ENSMUST00000098950;Elavl1;8;4285382;4325413
ENSMUST00000009550;Elk1;X;20933395;20950608
ENSMUST00000093454;Ell;8;70539688;70592858
ENSMUST00000053902;Elmod2;8;83313022;83332486
ENSMUST00000013966;Elof1;9;22112991;22117172
ENSMUST00000034904;Elovl5;9;77917364;77984519
ENSMUST00000025120;Elp2;18;24603963;24638810
ENSMUST00000022609;Elp3;14;65530449;65593075
ENSMUST00000108594;Elp5;11;69968224;69981252
ENSMUST00000118515;Emc10;7;44490111;44496406
ENSMUST00000118808;Emc10;7;44489937;44496529
ENSMUST00000022962;Emc2;15;43477229;43527763
ENSMUST00000032425;Emc3;6;113514874;113531652
ENSMUST00000028551;Emc4;2;112363011;112368027
ENSMUST00000054952;Emc6;11;73175519;73177037
ENSMUST00000069747;Emc7;2;112454997;112472162
ENSMUST00000034277;Emc8;8;120653914;120668121
ENSMUST00000181836;Emc8;8;120658050;120667836
ENSMUST00000002029;Emd;X;74254687;74257887
ENSMUST00000088313;Emd;X;74254830;74261548
ENSMUST00000119848;Eme2;17;24888486;24895055
ENSMUST00000004379;Emg1;6;124704381;124712178
ENSMUST00000096241;Eml3;19;8929552;8941582
ENSMUST00000205276;Emsy;7;98587137;98656779
ENSMUST00000205911;Emsy;7;98588936;98656546
ENSMUST00000037983;Ensa;3;95625020;95632102
ENSMUST00000058230;Ensa;3;95625011;95632102
ENSMUST00000094467;Entpd6;2;150749042;150771675
ENSMUST00000060652;Eny2;15;44428111;44438256
ENSMUST00000068387;Ep300;15;81585397;81652077
ENSMUST00000115870;Epc1;18;6435951;6516108
ENSMUST00000044622;Epg5;18;77938465;78035013
ENSMUST00000098845;Epn1;7;5080235;5098178
ENSMUST00000208634;Epn1;7;5083755;5098176
ENSMUST00000163643;Eps15l1;8;72340999;72421460
ENSMUST00000021183;Eral1;11;78073376;78080383
ENSMUST00000025241;Ercc3;18;32240300;32270151
ENSMUST00000027214;Ercc5;1;44147847;44181260
ENSMUST00000167662;Ergic1;17;26561489;26656931
ENSMUST00000143282;Ergic2;6;148181310;148188092
ENSMUST00000136008;Ergic2;6;148179079;148212374
ENSMUST00000006035;Ergic3;2;156008045;156018279
ENSMUST00000166931;Erh;12;80634357;80643832
ENSMUST00000021559;Erh;12;80634022;80644341
ENSMUST00000033927;Eri1;8;35465253;35495533
ENSMUST00000037127;Eri3;4;117550365;117674297
ENSMUST00000110813;Erich1;8;14027561;14090301
ENSMUST00000073192;Erlec1;11;30930774;30954152
ENSMUST00000033873;Erlin2;8;27023799;27040328
ENSMUST00000097393;Ermard;17;15041208;15063850
ENSMUST00000159692;Ermp1;19;29608214;29648415
ENSMUST00000052590;Erp29;5;121444756;121452496
ENSMUST00000130451;Erp29;5;121440824;121452506
ENSMUST00000030028;Erp44;4;48193323;48279558
ENSMUST00000025218;Etf1;18;34902785;34932007
ENSMUST00000073308;Ewsr1;11;5069698;5099067
ENSMUST00000038185;Exd2;12;80463095;80498122
ENSMUST00000049469;Exoc1;5;76529358;76570287
ENSMUST00000021785;Exoc2;13;30813919;30974054
ENSMUST00000035934;Exoc3;13;74169488;74208709
ENSMUST00000052266;Exoc4;6;33249085;33973979
ENSMUST00000162175;Exoc5;14;49004090;49066653
ENSMUST00000106411;Exoc7;11;116288001;116306734
ENSMUST00000098312;Exoc8;8;124893108;124897705
ENSMUST00000075280;Exosc1;19;41923566;41933296
ENSMUST00000038474;Exosc2;2;31670715;31681349
ENSMUST00000059045;Exosc4;15;76327397;76330677
ENSMUST00000026891;Exosc7;9;123113215;123136129
ENSMUST00000029269;Exosc9;3;36552606;36565727
ENSMUST00000028623;Ext2;2;93695631;93822568
ENSMUST00000106502;Extl2;3;116008220;116028960
ENSMUST00000178473;Faap20;4;155249966;155256687
ENSMUST00000097747;Faap20;4;155250003;155256684
ENSMUST00000033394;Fadd;7;144577318;144582463
ENSMUST00000102724;Faf1;4;109676588;109963960
ENSMUST00000026991;Faf2;13;54621824;54661586
ENSMUST00000126071;Faf2;13;54621784;54664063
ENSMUST00000120194;Fam104a;11;113661319;113684155
ENSMUST00000020831;Fam114a2;11;57482993;57518617
ENSMUST00000036540;Fam117b;1;59913006;59985346
ENSMUST00000060805;Fam120a;13;48879219;48968017
ENSMUST00000055352;Fam120b;17;15396202;15433438
ENSMUST00000099556;Fam122a;19;24476502;24477356
ENSMUST00000030849;Fam126a;5;23960931;24030690
ENSMUST00000197082;Fam133b;5;3543833;3570238
ENSMUST00000071492;Fam136a;6;86365646;86370058
ENSMUST00000040506;Fam13b;18;34442351;34506823
ENSMUST00000037698;Fam149b;14;20348265;20368067
ENSMUST00000090499;Fam149b;14;20348222;20383491
ENSMUST00000036407;Fam160b1;19;57360680;57389586
ENSMUST00000022690;Fam160b2;14;70583296;70599835
ENSMUST00000049053;Fam168a;7;100706702;100841656
ENSMUST00000167518;Fam168b;1;34813219;34843050
ENSMUST00000047534;Fam168b;1;34813226;34843065
ENSMUST00000042702;Fam173b;15;31602118;31617535
ENSMUST00000034226;Fam192a;8;94574138;94601997
ENSMUST00000180376;Fam193a;5;34369933;34486456
ENSMUST00000021957;Fam193b;13;55539316;55571120
ENSMUST00000065286;Fam204a;19;60198586;60226697
ENSMUST00000045368;Fam206a;4;56802349;56809601
ENSMUST00000045454;Fam207a;10;77486661;77515785
ENSMUST00000122424;Fam20b;1;156678532;156719072
ENSMUST00000086153;Fam20b;1;156678571;156719086
ENSMUST00000093833;Fam219b;9;57537528;57543182
ENSMUST00000114200;Fam219b;9;57537563;57543184
ENSMUST00000003123;Fam32a;8;72219730;72224418
ENSMUST00000025957;Fam45a;19;60811611;60836227
ENSMUST00000119633;Fam45a;19;60811591;60836227
ENSMUST00000063838;Fam49b;15;63929097;64060448
ENSMUST00000164532;Fam49b;15;63930942;63997969
ENSMUST00000114160;Fam50a;X;74313033;74320149
ENSMUST00000065162;Fam53a;5;33600356;33628912
ENSMUST00000065119;Fam53a;5;33600347;33629635
ENSMUST00000031198;Fam69a;5;107908053;107987085
ENSMUST00000030696;Fam76a;4;132899213;132922558
ENSMUST00000059579;Fam76b;9;13827716;13846541
ENSMUST00000037270;Fam91a1;15;58415468;58457740
ENSMUST00000112507;Fam98a;17;75537086;75551946
ENSMUST00000028825;Fam98b;2;117249739;117271540
ENSMUST00000033018;Far1;7;113513834;113571511
ENSMUST00000021857;Fars2;13;36117412;36537593
ENSMUST00000115043;Fastk;5;24438440;24445194
ENSMUST00000051784;Fastkd3;13;68582248;68592338
ENSMUST00000106435;Fbf1;11;116142286;116165914
ENSMUST00000042405;Fbl;7;28169710;28179269
ENSMUST00000032094;Fbxl14;6;119479668;119482630
ENSMUST00000024761;Fbxl17;17;63057452;63500017
ENSMUST00000110766;Fbxl18;5;142866946;142895421
ENSMUST00000145693;Fbxl3;14;103081034;103098999
ENSMUST00000022720;Fbxl3;14;103080239;103099554
ENSMUST00000039234;Fbxl4;4;22357543;22434091
ENSMUST00000023219;Fbxl6;15;76535721;76538735
ENSMUST00000130379;Fbxo11;17;87990859;88065028
ENSMUST00000043520;Fbxo25;8;13907803;13940522
ENSMUST00000051431;Fbxo28;1;182313102;182341618
ENSMUST00000028603;Fbxo3;2;104027721;104063240
ENSMUST00000048688;Fbxo38;18;62504155;62548695
ENSMUST00000022791;Fbxo4;15;3965445;3979573
ENSMUST00000030757;Fbxo42;4;141147913;141204062
ENSMUST00000042732;Fbxo45;16;32230112;32247158
ENSMUST00000053109;Fbxo46;7;19119859;19140172
ENSMUST00000117597;Fbxo7;10;86022197;86048323
ENSMUST00000046869;Fbxw4;19;45578254;45660312
ENSMUST00000015239;Fbxw5;2;25500750;25505471
ENSMUST00000107679;Fbxw7;3;84815268;84979198
ENSMUST00000049474;Fbxw8;5;118064965;118155464
ENSMUST00000095220;Fbxw9;8;85060055;85067121
ENSMUST00000021669;Fcf1;12;84970897;84983303
ENSMUST00000042391;Fdxacb1;9;50768236;50773348
ENSMUST00000025484;Fech;18;64457265;64489063
ENSMUST00000034775;Fem1b;9;62791821;62811934
ENSMUST00000036226;Fem1c;18;46501746;46525971
ENSMUST00000024636;Fgfr1op;17;8165540;8196475
ENSMUST00000111663;Fgfr1op2;6;146577859;146599198
ENSMUST00000067404;Fgfr1op2;6;146577859;146599198
ENSMUST00000037836;Fgfr1op2;6;146577203;146592865
ENSMUST00000025847;Fibp;19;5460629;5465049
ENSMUST00000065698;Ficd;5;113735803;113740600
ENSMUST00000043814;Fig4;10;41188172;41303260
ENSMUST00000113535;Fip1l1;5;74535481;74596145
ENSMUST00000113536;Fip1l1;5;74535471;74598800
ENSMUST00000019198;Fis1;5;136962077;136966234
ENSMUST00000077385;Fiz1;7;5007059;5014678
ENSMUST00000098033;Fkbp15;4;62318626;62360494
ENSMUST00000177752;Fkbp2;19;6977744;6980501
ENSMUST00000070878;Fkbp2;19;6977741;6980440
ENSMUST00000032508;Fkbp4;6;128430103;128438677
ENSMUST00000119353;Fkbp8;8;70527724;70535328
ENSMUST00000119698;Fkbp8;8;70527846;70535327
ENSMUST00000075491;Fkbp8;8;70527747;70535326
ENSMUST00000036720;Fkbpl;17;34644764;34646324
ENSMUST00000061390;Fkrp;7;16809246;16816732
ENSMUST00000091246;Flcn;11;59791790;59809588
ENSMUST00000102697;Flcn;11;59791408;59810016
ENSMUST00000002889;Flii;11;60714143;60727263
ENSMUST00000001569;Flot1;17;35823230;35832791
ENSMUST00000046835;Fnip1;11;54438199;54518235
ENSMUST00000023357;Fopnl;16;14299244;14317375
ENSMUST00000044564;Foxj3;4;119539661;119629119
ENSMUST00000106310;Foxj3;4;119539688;119629119
ENSMUST00000072837;Foxk1;5;142401500;142462011
ENSMUST00000106113;Foxk2;11;121259990;121309896
ENSMUST00000112238;Foxn2;17;88440711;88490533
ENSMUST00000105502;Foxo3;10;42181841;42276752
ENSMUST00000033999;Frg1;8;41397459;41417074
ENSMUST00000020381;Frs2;10;117069427;117148510
ENSMUST00000202697;Fryl;5;73019987;73071175
ENSMUST00000069718;Fto;8;91313525;91668439
ENSMUST00000033513;Ftsj1;X;8238668;8252406
ENSMUST00000115595;Ftsj1;X;8240420;8252395
ENSMUST00000021048;Ftsj3;11;106249142;106256079
ENSMUST00000113482;Fubp3;2;31572651;31617526
ENSMUST00000060212;Fuca2;10;13501001;13515543
ENSMUST00000121465;Fuca2;10;13501001;13519035
ENSMUST00000026016;Fundc1;X;17556564;17572325
ENSMUST00000033541;Fundc2;X;75382399;75396459
ENSMUST00000106251;Fus;7;127967457;127985701
ENSMUST00000141997;Fus;7;127980184;127982007
ENSMUST00000077609;Fus;7;127967490;127982032
ENSMUST00000121616;Fus;7;127967508;127982032
ENSMUST00000048016;Fut11;14;20694968;20701016
ENSMUST00000200392;Fxr1;3;34020108;34070322
ENSMUST00000018909;Fxr2;11;69632990;69653297
ENSMUST00000023489;Fyttd1;16;32877781;32908875
ENSMUST00000140901;Fzr1;10;81366222;81378516
ENSMUST00000018727;G3bp1;11;55469685;55504838
ENSMUST00000113127;G3bp2;5;92052164;92083719
ENSMUST00000078975;G6pc3;11;102189669;102194081
ENSMUST00000070334;G6pc3;11;102189620;102194081
ENSMUST00000034428;Gabarapl2;8;111940703;111953612
ENSMUST00000009120;Gabpa;16;84835124;84863779
ENSMUST00000156110;Gak;5;108569411;108591671
ENSMUST00000096246;Ganab;19;8898101;8916672
ENSMUST00000113111;Gapvd1;2;34676184;34717297
ENSMUST00000102800;Gapvd1;2;34674594;34755232
ENSMUST00000003572;Gars;6;55038007;55079500
ENSMUST00000120450;Gart;16;91633405;91646935
ENSMUST00000093043;Gas8;8;123518834;123536650
ENSMUST00000007559;Gatad1;5;3639961;3647934
ENSMUST00000196304;Gatad1;5;3641290;3657185
ENSMUST00000116463;Gatad2a;8;69908656;69974271
ENSMUST00000199754;Gatad2b;3;90293178;90363407
ENSMUST00000127348;Gatb;3;85574119;85655622
ENSMUST00000139167;Gatc;5;115333239;115341178
ENSMUST00000026254;Gbf1;19;46152509;46286510
ENSMUST00000090511;Gcc1;6;28416091;28421724
ENSMUST00000003907;Gcdh;8;84886393;84893917
ENSMUST00000029459;Gdap2;3;100162381;100206981
ENSMUST00000059515;Gdi2;13;3538130;3565820
ENSMUST00000062915;Gdpgp1;7;80232865;80242061
ENSMUST00000172035;Gemin5;11;58120002;58168539
ENSMUST00000026976;Get4;5;139252324;139270051
ENSMUST00000013294;Gfod2;8;105713854;105758664
ENSMUST00000113658;Gfpt1;6;87042846;87092197
ENSMUST00000041587;Gga1;15;78877190;78894585
ENSMUST00000033160;Gga2;7;121986722;122021222
ENSMUST00000065906;Ggcx;6;72414308;72430712
ENSMUST00000194207;Ggcx;CHR_MG184_PATCH;72414307;72430711
ENSMUST00000154915;Ggnbp2;11;84832806;84870202
ENSMUST00000172405;Ggnbp2;11;84832361;84870738
ENSMUST00000132098;Ggnbp2;11;84834136;84836468
ENSMUST00000017891;Ghdc;11;100766032;100770957
ENSMUST00000070681;Gid4;11;60417262;60445277
ENSMUST00000029090;Gid8;2;180710117;180718733
ENSMUST00000033950;Gins4;8;23226616;23237659
ENSMUST00000112185;Git2;5;114727407;114773495
ENSMUST00000019859;Gle1;2;29935426;29960371
ENSMUST00000185362;Glrx2;1;143739557;143749401
ENSMUST00000111957;Glrx2;1;143739615;143746776
ENSMUST00000129653;Glrx2;1;143740375;143749676
ENSMUST00000155587;Gls;1;52185280;52212209
ENSMUST00000114513;Gls;1;52163448;52233223
ENSMUST00000168584;Glt8d1;14;31001400;31011990
ENSMUST00000022322;Glud1;14;34310727;34345265
ENSMUST00000023189;Glyr1;16;5013909;5049863
ENSMUST00000115844;Glyr1;16;5013909;5049857
ENSMUST00000047057;Gm17018;19;45560615;45578287
ENSMUST00000174651;Gm20604;12;102741732;102758672
ENSMUST00000189185;Gm29666;15;84910438;84920038
ENSMUST00000001185;Gmcl1;6;86691768;86733383
ENSMUST00000049032;Gmeb2;2;181251449;181288035
ENSMUST00000079314;Gmfb;14;46808149;46822242
ENSMUST00000111817;Gmfb;14;46808149;46822242
ENSMUST00000037796;Gmppa;1;75435930;75443174
ENSMUST00000002397;Gmpr2;14;55672235;55679200
ENSMUST00000029405;Gmps;3;63976106;64022579
ENSMUST00000043604;Gna11;10;81528724;81545190
ENSMUST00000020930;Gna13;11;109362831;109401369
ENSMUST00000000001;Gnai3;3;108107280;108146146
ENSMUST00000105616;Gnb1;4;155491364;155559269
ENSMUST00000030940;Gnb1;4;155491370;155559269
ENSMUST00000176637;Gnb1;4;155527453;155559267
ENSMUST00000087200;Gnl1;17;35979851;35989462
ENSMUST00000030684;Gnl2;4;125029992;125055376
ENSMUST00000037739;Gnl3;14;31012433;31019152
ENSMUST00000034466;Gnpat;8;124863033;124890057
ENSMUST00000046191;Gnpnat1;14;45376334;45388961
ENSMUST00000115154;Gnptg;17;25233331;25240124
ENSMUST00000038973;Gnptg;17;25234317;25240116
ENSMUST00000112512;Golga3;5;110176701;110226470
ENSMUST00000084820;Golga4;9;118506267;118582519
ENSMUST00000059680;Golph3;15;12321450;12351265
ENSMUST00000032372;Golt1b;6;142387221;142403858
ENSMUST00000020008;Gopc;10;52337052;52382075
ENSMUST00000045138;Gorab;1;163384908;163403669
ENSMUST00000028509;Gorasp2;2;70661576;70691743
ENSMUST00000010536;Gosr1;11;76726602;76763579
ENSMUST00000021329;Gosr2;11;103676849;103697898
ENSMUST00000034097;Got2;8;95864134;95888547
ENSMUST00000022585;Gpalpp1;14;76086236;76110760
ENSMUST00000079693;Gpatch1;7;35276536;35318440
ENSMUST00000170759;Gpatch11;17;78835589;78848308
ENSMUST00000071106;Gpatch2l;12;86241875;86291370
ENSMUST00000143842;Gpatch8;11;102475915;102556199
ENSMUST00000047627;Gpbp1;13;111425680;111490111
ENSMUST00000030460;Gpbp1l1;4;116557658;116593882
ENSMUST00000146623;Gpd1l;9;114899341;114933987
ENSMUST00000110388;Gphn;12;78226653;78684767
ENSMUST00000038027;Gpi1;7;34201330;34230336
ENSMUST00000049896;Gpkow;X;7697131;7710262
ENSMUST00000076949;Gpn1;5;31494741;31512904
ENSMUST00000030661;Gpn2;4;133584362;133591735
ENSMUST00000031420;Gpn3;5;122372451;122382902
ENSMUST00000005975;Gpr108;17;57234972;57247689
ENSMUST00000022728;Gpr180;14;118137158;118163261
ENSMUST00000029738;Gpr89;3;96868281;96905346
ENSMUST00000116305;Gps1;11;120784305;120789102
ENSMUST00000100134;Gps1;11;120784275;120789097
ENSMUST00000183037;Gpx4;10;80054465;80056394
ENSMUST00000001115;Grk6;13;55445338;55460927
ENSMUST00000062991;Grpel2;18;61712424;61726323
ENSMUST00000113234;Grsf1;5;88659458;88675666
ENSMUST00000107723;Grwd1;7;45825227;45830789
ENSMUST00000071739;Gsk3a;7;25228258;25237851
ENSMUST00000023507;Gsk3b;16;38089001;38246084
ENSMUST00000051934;Gskip;12;105685384;105703023
ENSMUST00000167571;Gspt1;16;11219292;11254270
ENSMUST00000167025;Gspt1;16;11220401;11224498
ENSMUST00000080030;Gspt1;16;11220052;11254209
ENSMUST00000029651;Gstcd;3;132981752;133091825
ENSMUST00000026050;Gsto1;19;47854970;47864790
ENSMUST00000063117;Gstz1;12;87147718;87164723
ENSMUST00000112810;Gtdc1;2;44564412;44861622
ENSMUST00000021345;Gtf2a1;12;91555262;91590009
ENSMUST00000029938;Gtf2b;3;142765045;142783606
ENSMUST00000023525;Gtf2e1;16;37509790;37539789
ENSMUST00000170705;Gtf2e2;8;33731833;33777164
ENSMUST00000167264;Gtf2e2;8;33732042;33777164
ENSMUST00000002733;Gtf2f1;17;57003405;57011288
ENSMUST00000088922;Gtf2f2;14;75896937;76010865
ENSMUST00000006774;Gtf2h1;7;46796103;46823800
ENSMUST00000001565;Gtf2h4;17;35667730;35673739
ENSMUST00000100955;Gtf2h5;17;6079930;6085132
ENSMUST00000039487;Gtf2h5;17;6079786;6086517
ENSMUST00000173341;Gtf2i;5;134237839;134314720
ENSMUST00000146511;Gtf3a;5;146948657;146955614
ENSMUST00000132102;Gtf3a;5;146948705;146955606
ENSMUST00000055506;Gtf3c1;7;125640954;125707780
ENSMUST00000041638;Gtf3c3;1;54396004;54438971
ENSMUST00000028157;Gtf3c5;2;28566311;28583279
ENSMUST00000019982;Gtf3c6;10;40249350;40257676
ENSMUST00000046463;Gtpbp1;15;79690845;79721479
ENSMUST00000162512;Gtpbp8;16;44736768;44746363
ENSMUST00000170202;Guk1;11;59183875;59191952
ENSMUST00000049484;Gxylt1;15;93239742;93275161
ENSMUST00000028928;Gzf1;2;148681023;148692949
ENSMUST00000089059;H13;2;152669488;152705036
ENSMUST00000109737;H2afv;11;6427229;6444443
ENSMUST00000093346;H2afv;11;6428138;6444352
ENSMUST00000016703;H3f3b;11;116021961;116024504
ENSMUST00000036615;Hacd3;9;64986983;65021693
ENSMUST00000001416;Hars;18;36766528;36783205
ENSMUST00000152954;Hars2;18;36783008;36792562
ENSMUST00000028408;Hat1;2;71389260;71441622
ENSMUST00000033737;Haus7;X;73437315;73459044
ENSMUST00000079724;Hax1;3;89995446;89998697
ENSMUST00000172314;Hbp1;12;31926254;31950535
ENSMUST00000167458;Hbp1;12;31929383;31950223
ENSMUST00000020153;Hbs1l;10;21295979;21368898
ENSMUST00000033717;Hccs;X;169311530;169320280
ENSMUST00000128136;Hcfc1;X;73942795;73949253
ENSMUST00000020478;Hcfc2;10;82699007;82742428
ENSMUST00000160681;Hcfc2;10;82728349;82741395
ENSMUST00000102597;Hdac1;4;129516104;129542713
ENSMUST00000043498;Hdac3;18;37936972;37955016
ENSMUST00000097644;Hdac4;1;91928779;92180341
ENSMUST00000087916;Hdac8;X;102284639;102505359
ENSMUST00000005017;Hdgf;3;87906321;87916132
ENSMUST00000150990;Hdhd2;18;76944384;76972902
ENSMUST00000145634;Hdhd2;18;76944144;76971405
ENSMUST00000042498;Hdlbp;1;93407762;93445686
ENSMUST00000170883;Hdlbp;1;93405940;93478801
ENSMUST00000059270;Heatr1;13;12395371;12438893
ENSMUST00000040583;Heatr5a;12;51875871;51971321
ENSMUST00000097281;Heatr5b;17;78752898;78835324
ENSMUST00000001002;Heatr6;11;83753696;83783754
ENSMUST00000037879;Heca;10;17899035;17948067
ENSMUST00000050067;Hectd3;4;116995317;117005277
ENSMUST00000020449;Helb;10;120083608;120112987
ENSMUST00000044684;Helq;5;100762145;100798598
ENSMUST00000035196;Hemk1;9;107327084;107338350
ENSMUST00000042824;Herc1;9;66350526;66508775
ENSMUST00000076226;Herc2;7;56050253;56231800
ENSMUST00000041401;Herc3;6;58833700;58920398
ENSMUST00000020258;Herc4;10;63243911;63317874
ENSMUST00000008573;Herpud2;9;25108132;25151820
ENSMUST00000106205;Hgs;11;120467635;120483979
ENSMUST00000026900;Hgs;11;120467635;120483984
ENSMUST00000110461;Hif1a;12;73901375;73947530
ENSMUST00000040455;Hif1an;19;44562850;44576274
ENSMUST00000060251;Higd1a;9;121848563;121858362
ENSMUST00000034629;Hinfp;9;44296494;44305646
ENSMUST00000020504;Hint1;11;54866383;54870501
ENSMUST00000118317;Hipk1;3;103739815;103791563
ENSMUST00000120532;Hira;16;18877037;18928011
ENSMUST00000004222;Hira;16;18877066;18970309
ENSMUST00000090781;Hist2h2be;3;96221119;96223738
ENSMUST00000060148;Hivep1;13;42052021;42185026
ENSMUST00000099691;Hk1;10;62268855;62340542
ENSMUST00000072357;Hk1;10;62269108;62358362
ENSMUST00000163193;Hlcs;16;94128884;94313563
ENSMUST00000022544;Hmbox1;14;64811600;64949850
ENSMUST00000034879;Hmg20a;9;56418609;56496936
ENSMUST00000110505;Hmgb1;5;149048228;149051300
ENSMUST00000093196;Hmgb1;5;149048645;149051616
ENSMUST00000085546;Hmgb1;5;149046702;149053040
ENSMUST00000091884;Hmgxb3;18;61131277;61177050
ENSMUST00000004172;Hmox2;16;4726363;4766742
ENSMUST00000121529;Hmox2;16;4756994;4765090
ENSMUST00000120232;Hmox2;16;4741581;4766249
ENSMUST00000087351;Hnrnpa1;15;103240454;103244955
ENSMUST00000036004;Hnrnpa1;15;103240432;103244955
ENSMUST00000069949;Hnrnpa2b1;6;51460932;51469894
ENSMUST00000203220;Hnrnpa2b1;6;51462760;51469772
ENSMUST00000204188;Hnrnpa2b1;6;51462760;51469772
ENSMUST00000090002;Hnrnpa2b1;6;51461124;51469845
ENSMUST00000101249;Hnrnpab;11;51600869;51606847
ENSMUST00000109103;Hnrnpab;11;51601174;51606847
ENSMUST00000074669;Hnrnpab;11;51600100;51606847
ENSMUST00000164655;Hnrnpc;14;52073380;52104028
ENSMUST00000111610;Hnrnpc;14;52073377;52104028
ENSMUST00000171786;Hnrnpd;5;99966027;99978934
ENSMUST00000072750;Hnrnpd;5;99961002;99978935
ENSMUST00000112939;Hnrnpd;5;99960998;99978917
ENSMUST00000172361;Hnrnpd;5;99955935;99978938
ENSMUST00000153442;Hnrnpdl;5;100034721;100038869
ENSMUST00000128187;Hnrnpdl;5;100033577;100039222
ENSMUST00000116403;Hnrnpk;13;58391142;58403343
ENSMUST00000043269;Hnrnpk;13;58391239;58402502
ENSMUST00000177497;Hnrnpk;13;58391239;58398055
ENSMUST00000174548;Hnrnpl;7;28808541;28822266
ENSMUST00000174477;Hnrnpl;7;28810937;28822240
ENSMUST00000172529;Hnrnpl;7;28808808;28822249
ENSMUST00000087582;Hnrnpm;17;33646239;33685419
ENSMUST00000148178;Hnrnpm;17;33646233;33686860
ENSMUST00000037748;Hnrnpu;1;178324343;178337797
